text,label
"Win a brand new iPhone today","spam"
"Your account has been suspended, click here","phishing"
"Project meeting tomorrow at 10am","normal"
"Congratulations! You have won a $1000 gift card","spam"
"Verify your account immediately to avoid suspension","phishing"
"Please review the attached report before the meeting","normal"
"Limited time offer, get 50% off now","spam"
"Your login attempt failed, please confirm your identity","phishing"
"Can we reschedule the team call to Thursday?","normal"
"Earn money from home easily, click here","spam"
"Your bank account has been compromised, reset password now","phishing"
"Don't forget to submit your timesheet today","normal"
"Claim your free vacation now!","spam"
"Action required: update your billing information","phishing"
"Here is the agenda for tomorrow's meeting","normal"
"Congratulations, you won a free iPad!","spam"
"Security alert: suspicious login detected","phishing"
"Please find attached the project plan","normal"
"Act now! Limited spots available for our seminar","spam"
"Your email has been selected for verification","phishing"
"Can you review my draft for the report?","normal"
"Get rich quickly with this simple trick","spam"
"Confirm your email to continue using your account","phishing"
"Team lunch is scheduled for Friday","normal"
"Free gift cards for everyone who clicks this link","spam"
"Your account may be locked, click here to secure it","phishing"
"Reminder: submit your weekly status report","normal"
"Exclusive offer! Buy one get one free today","spam"
"Unusual activity detected in your account, please verify","phishing"
"Please approve the leave requests by EOD","normal"
"Earn $500 per day from home, limited spots","spam"
"Update your payment information to avoid service interruption","phishing"
"The client meeting has been moved to 3pm","normal"
"Get your free trial now before it expires","spam"
"Your account has been flagged for suspicious activity","phishing"
"Final draft of the proposal attached","normal"
"Win big prizes by clicking this link","spam"
"Verify your identity to prevent account closure","phishing"
"Minutes of yesterday's meeting attached","normal"
"Congratulations! You've been selected for a prize","spam"
"Your account is temporarily suspended, act now","phishing"
"Reminder: submit the budget spreadsheet","normal"
"Act fast! Limited time bonus for new members","spam"
"Unusual login detected, confirm your password","phishing"
"Team outing is scheduled for next week","normal"
"Claim your reward now, click here","spam"
"Security notice: your account needs verification","phishing"
"Please review the updated document","normal"
"Win amazing prizes with our giveaway","spam"
"Your account will be deactivated unless verified","phishing"
"Check the attached files for the meeting","normal"
